id_usuario,id_universidad,id_grado_academico,titulo_profesional,especialidad,fecha_emision,resolucion,id_tipo_obtencion
1,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,1995-02-17,209-95-R-UNA,2
1,1,2,INGENIERO AGROINDUSTRIAL,-,1996-07-12,958-96-R-UNA,2
1,2,3,MAGISTER SCIENTIAE,TECNOLOGIA DE ALIMENTOS,2002-06-17,391-UNALM,2
1,3,4,GRADO DE : DOCTOR EN HIGIENE DE ALIMENTOS Y ANIMALES ,-,,299-2012-ANR,2
1,4,3,GRADO DE MAESTRÍA EN HIGIENE DE ANIMALES Y ALIMENTOS ,-,2007-03-20,RESOLUCIÓN DE RECONOCIMIENTO Nº 2393-2017-SUNEDU-02-15-02,2
2,1,2,SCIENTIAE EN POSCOSECHA Y MARKETING,-,2006-03-24,516-2006-R-UNA,2
2,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,1995-11-24,1731-95-R-UNA,2
2,1,3,MAGISTER SCIENTIAE EN POSCOSECHA Y MARKETING,-,2006-03-24,516-2006-R-UNA,2
2,1,2,INGENIERO AGROINDUSTRIAL,-,1999-10-29,1697-99-R-UNA,2
3,1,3,MAGISTER SCIENTIAE EN POSCOSECHA Y MARKETING,-,2006-07-27,1567-2006-R-UNA,2
3,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,1998-08-14,1567-98-R-UNA,2
3,1,2,INGENIERO AGROINDUSTRIAL,-,2001-01-26,0058-2001-R-UNA,2
3,5,4,GRADO DE DOCTOR EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,-,,0702,2
4,1,3,MAGISTER SCIENTIAE EN DESARROLLO RURAL,-,2005-06-30,383-2005-R-UNA,2
4,6,1,BACHILLER EN,INGENIERIA INDUSTRIAL,1980-03-21,-,2
4,6,2,INGENIERO INDUSTRIAL,-,1986-02-26,-,2
5,1,1,BACHILLER EN CIENCIAS AGROINDUSTRIALES,-,1996-01-19,0069-96-R-UNA,2
5,1,2,INGENIERO AGROINDUSTRIAL,-,2001-08-17,1222-2001-R-UNA,2
